INSTITUTION,GROUP,INTEREST % p.a,PERIOD,INVESTMENT (Rs),INVESTOR TYPE,TAX STATUS
Bombay Mercantile Co-operative Bank,Cooperative Banks,9,Above 18 months to 5 year,Less than Rs. 15 lakh,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,8.5,5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,8.5,DB Tax Saver Deposits - 5 years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Bharat Co-operative Bank,Cooperative Banks,8.35,Above 5 years,15 lakh and above Less than Rs. 1 cr,Senior Citizen,Taxable
Kapole Co-operative Bank,Cooperative Banks,8.25,12 months to 24 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,8.24,24 month to less than 36 month,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,8.14,12 month to less than 24 month,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,8.1,Above 5 years,Less than Rs. 15 lakh,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,8.1,Bharat Co-operative Tax Savings Scheme - 5 Years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
The Ratnakar Bank,Indian Private Sector Banks,8.08,120 months to 240 months,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,8.08,36 month to les than 60 month,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,8.08,60 months to 120 months,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,8.08,Ratnakar Tax Savings Term Deposit Scheme - 60 months to 120 months,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Bharat Co-operative Bank,Cooperative Banks,8,Above 3 years to 5 years,15 lakh and above Less than Rs. 1 cr,Senior Citizen,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,8,Above 1 years to 18 month,Less than Rs. 15 lakh,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,8,5 years,Less than Rs. 1 cr,General,Taxable
Kapole Co-operative Bank,Cooperative Banks,8,12 months to 24 months,Less than Rs. 15 lakh,General,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,8,1000 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,8,13 months,Less than Rs. 25 lakh,Senior Citizen,Taxable
Thane Janata Sahakari Bank,Cooperative Banks,8,Above 12 months to 36 months,Upto Rs. 15 lakh,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,8,DB Tax Saver Deposits - 5 years,Upto Rs. 1 lakh,General,Tax Saving
Bharat Co-operative Bank,Cooperative Banks,7.9,Above 5 years,15 lakh and above Less than Rs. 1 cr,General,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.82,241 days to 364 days,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.8,1234 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.8,1234 days,Rs. 1 cr to 5 crs,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.77,12 month to less than 24 month,Rs. 1 cr and above to upto Rs 3 cr,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.75,Above 3 years to 5 years,15 lakh and above Less than Rs. 1 cr,General,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.75,1 year to 3 years,15 lakh and above Less than Rs. 1 cr,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.75,Above 3 years to 5 years,Less than Rs. 15 lakh,Senior Citizen,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,7.75,Above 12 Months to 18 Months,Rs. 15 lakh and above,Senior Citizen,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,7.75,Above 18 Months to 120 Months,Rs. 15 lakh and above,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,7.75,Above 4 years to less than 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
DCB Bank,Indian Private Sector Banks,7.75,More than 36 months to 60 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Kapole Co-operative Bank,Cooperative Banks,7.75,Above 24 months to 36 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,7.75,500 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,7.75,13 months,Less than Rs. 25 lakh,General,Taxable
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,7.75,12 months to 36 months,Less than Rs. 25 lakh,Senior Citizen,Taxable
Thane Janata Sahakari Bank,Cooperative Banks,7.75,Above 36 months to 60 months,Upto Rs. 15 lakh,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.71,120 months to 240 months,Rs. 1 cr and above to upto Rs 3 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.71,24 month to less than 36 month,Rs. 1 cr and above to upto Rs 3 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.71,36 month to les than 60 month,Rs. 1 cr and above to upto Rs 3 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.71,60 months to 120 months,Rs. 1 cr and above to upto Rs 3 cr,Senior Citizen,Taxable
DCB Bank,Indian Private Sector Banks,7.7,24 months to 36 months,Less than Rs. 1 cr,Senior Citizen,Taxable
DCB Bank,Indian Private Sector Banks,7.7,More than 60 months to 120 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Yes Bank,Indian Private Sector Banks,7.7,36 Months 10 Days to 36 Months 20 Days,Less than Rs. 1cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.66,241 days to 364 days,Rs. 1 cr and above to upto Rs 3 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.65,1 years and above to less than 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.65,2 years & above to 1233 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.65,1 years and above to less than 2 years,Rs. 1 cr to 5 crs,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.65,2 years & above to 1233 days,Rs. 1 cr to 5 crs,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.65,Above 5 years,Less than Rs. 15 lakh,General,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.65,Above 5 years,Rs. 1 cr and above,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.65,1 year to below 1 years 2 months,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.65,2 years to below 2 years 6 months,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.65,1 year to below 1 years 2 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.65,2 years to below 2 years 6 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Yes Bank,Indian Private Sector Banks,7.65,18 Months 8 Days to 18 Months 18 Days,Less than Rs. 1cr,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.65,Bharat Co-operative Tax Savings Scheme - 5 Years,Upto Rs. 1 lakh,General,Tax Saving
